fips,rural_urban_continuum_code_2003,economic_typology_2015,census_2010_pop,residual_2010,r_birth_2011,r_death_2011,r_international_mig_2011,r_domestic_mig_2011,r_domestic_mig_2012,r_domestic_mig_2013,r_domestic_mig_2014,r_domestic_mig_2016
48229,8.0,4.0,3476,-1.0,15.979081929,5.5200464846,1.1621150494,-29.343405,-31.0237849,-17.92114695,-35.81640331,157.28030789
48231,1.0,3.0,86129,7.0,12.632041236,9.4884774519,1.0401497816,-0.427617132,-0.11516359,2.1673317738,10.246041302,21.292650015
48233,6.0,2.0,22150,3.0,12.884850129,10.714770107,0.6329400063,-11.48334011,-4.949371112,-6.872539426,-4.836207683,-14.1732647
48235,3.0,2.0,1599,0.0,7.5023444827,13.754298218,0.0,-2.500781494,-19.5892575,25.133521835,-25.12562814,11.594202899
48237,6.0,2.0,9044,0.0,11.201064656,9.0939336808,1.4417211933,-0.776311412,-6.214626568,-5.907596277,-6.617688296,-11.31733816
48239,6.0,3.0,14075,-2.0,12.438252959,9.4530722485,0.0710757312,-6.041437151,12.006073661,20.705654236,4.090955579,-1.751962535
48241,6.0,0.0,35710,1.0,13.086786791,11.447465303,1.0280490685,9.1968713966,-14.1275084,-6.967861091,-5.37717656,3.7915764752
48243,9.0,4.0,2342,1.0,6.0527453524,9.943795936,-0.864677907,-22.48162559,2.621231979,-25.62403358,-3.147482014,14.446952596
48245,2.0,0.0,252273,-11.0,13.570537742,9.2538971319,1.8381299301,-2.023919407,-14.27046975,-0.554802609,-7.668347906,-4.807579376
48247,6.0,4.0,5300,1.0,16.830559758,9.8335854766,1.5128593041,-8.131618759,-12.30361537,-12.52371917,0.3776791616,-18.19387852
48249,4.0,2.0,40838,-2.0,16.001363891,9.4011057259,0.1948415694,1.2664702014,4.754147813,-5.640090241,-12.76672477,-15.79125556
48251,1.0,0.0,150934,-13.0,12.651718432,8.4652456833,0.3889793577,0.9230018658,3.5481769768,3.0784218217,10.081344693,16.541035926
48253,3.0,4.0,20202,1.0,7.6528093216,10.516441197,0.6418485237,3.653599289,-21.97309417,8.6686375708,-9.424976187,1.7026817237
48255,6.0,4.0,14824,0.0,9.0458322166,10.519967837,1.1391047976,5.0254623425,-7.713461667,-8.855539782,3.4416438911,-5.047400265
48257,1.0,0.0,103350,19.0,13.316050528,7.5285429352,0.5548354387,6.35190916,6.3470474895,9.6554485314,17.068273092,26.43570631
48259,1.0,0.0,33410,8.0,9.2633436259,9.1163064255,1.411557124,22.820173504,28.497113131,42.375213252,30.756596376,46.162681297
