fips,rural_urban_continuum_code_2003,povall_2019,pctpovall_2019
6083,2.0,51298,12.0
6085,1.0,116401,6.1
6087,2.0,27531,10.6
6089,3.0,23508,13.3
6091,8.0,375,12.7
6093,7.0,7484,17.4
6095,2.0,39018,9.0
6097,2.0,34758,7.2
6099,2.0,70741,13.0
6101,3.0,12310,12.8
6103,4.0,10484,16.3
6105,8.0,1986,16.5
6107,2.0,86940,18.9
6109,4.0,5781,11.3
6111,2.0,68482,8.2
6113,1.0,35608,16.9
6115,3.0,11748,15.2
8001,1.0,47464,9.3
8003,7.0,3019,19.6
8005,1.0,47072,7.2
8007,7.0,1502,10.8
8009,9.0,675,19.3
8011,7.0,1354,34.4
8013,2.0,33965,10.7
8014,1.0,2865,4.1
8015,7.0,2070,11.0
8017,9.0,243,13.7
8019,1.0,709,7.4
8021,9.0,1624,19.9
8023,9.0,955,24.6
8025,8.0,1249,40.0
8027,8.0,577,11.8
8029,6.0,4602,15.1
8031,1.0,86020,12.1
8033,9.0,262,12.8
8035,1.0,9622,2.7
8037,5.0,4365,7.9
8039,1.0,1514,5.7
8041,2.0,61692,8.8
8043,4.0,6361,16.1
8045,5.0,5694,9.6
8047,1.0,421,6.8
8049,8.0,1271,8.1
8051,7.0,1920,11.6
8053,9.0,72,8.9
8055,6.0,1349,20.0
8057,9.0,175,12.6
8059,1.0,41258,7.2
8061,9.0,188,13.5
8063,7.0,927,13.2
8065,7.0,913,11.4
8067,6.0,6127,11.3
8069,2.0,35894,10.3
8071,7.0,2407,17.6
8073,8.0,793,17.0
8075,7.0,2389,12.9
8077,3.0,16840,11.2
8079,9.0,72,9.4
8081,7.0,1611,12.2
8083,6.0,3856,14.9
8085,7.0,5565,13.2
8087,6.0,3386,11.9
8089,6.0,4297,24.2
8091,9.0,342,6.9
8093,1.0,1602,8.6
8095,9.0,435,10.4
8097,7.0,1099,6.2
8099,7.0,2159,18.2
8101,3.0,29187,17.8
8103,9.0,624,10.3
8105,7.0,1591,14.4
8107,7.0,1820,7.2
8109,9.0,1726,25.4
8111,9.0,99,13.7
8113,9.0,804,9.9
8115,9.0,323,14.6
8117,7.0,1963,6.4
8119,2.0,1990,7.9
8121,9.0,556,11.8
8123,3.0,26547,8.4
8125,7.0,1255,12.8
9001,2.0,83047,9.0
9003,1.0,93694,10.8
9005,4.0,12741,7.1
9007,1.0,11024,7.0
9009,2.0,99423,12.0
9011,2.0,19739,7.8
9013,1.0,10559,7.8
9015,4.0,12874,11.5
10001,3.0,22195,12.7
10003,1.0,56289,10.4
10005,4.0,27742,12.1
11001,1.0,94985,14.1
12001,3.0,46916,18.4
12003,1.0,3914,14.9
12005,3.0,20643,12.1
12007,6.0,5011,21.0
12009,2.0,55578,9.4
12011,1.0,237486,12.3
12013,6.0,2508,20.3
12015,3.0,21188,11.4
12017,4.0,22291,15.2
12019,1.0,18095,8.3
12021,2.0,35928,9.4
12023,6.0,10338,15.6
12027,6.0,7626,21.8
12029,6.0,3338,22.2
12031,1.0,126963,13.5
12033,2.0,46519,15.5
12035,4.0,11049,9.7
12037,6.0,1995,19.2
12039,2.0,8472,19.7
12041,3.0,2601,15.0
12043,6.0,2377,19.3
12045,6.0,1848,14.0
12047,6.0,3794,32.5
12049,6.0,5614,22.1
12051,4.0,8086,19.5
12053,1.0,23779,12.4
12055,4.0,16519,15.8
12057,1.0,195684,13.5
12059,6.0,3587,20.1
12061,3.0,18179,11.5
12063,6.0,7769,19.4
12065,2.0,2276,17.6
12067,8.0,1289,18.0
12069,1.0,39419,10.9
12071,2.0,85295,11.2
12073,2.0,58203,20.8
12075,8.0,7458,18.2
12077,8.0,1453,23.0
12079,6.0,3732,22.7
12081,2.0,44991,11.3
12083,2.0,52950,14.9
12085,2.0,14000,8.9
12086,1.0,419056,15.7
12087,4.0,7239,9.9
12089,1.0,7951,9.0
12091,3.0,21866,10.6
12093,4.0,7189,18.4
12095,1.0,171599,12.6
12097,1.0,49803,13.4
12099,1.0,168026,11.4
12101,1.0,61716,11.3
12103,1.0,108948,11.4
12105,2.0,99590,14.0
12107,4.0,16318,22.4
12109,1.0,16829,6.4
12111,2.0,34008,10.5
12113,2.0,17435,9.8
12115,2.0,33144,7.8
12117,1.0,43741,9.3
12119,4.0,11078,8.9
12121,6.0,7144,17.1
12123,6.0,3792,19.9
12125,6.0,2065,19.9
12127,2.0,70554,13.1
12129,2.0,3651,12.0
12131,6.0,7740,10.8
12133,6.0,4587,20.1
13001,7.0,3737,20.9
13003,9.0,1887,23.2
13005,7.0,2080,19.2
13007,3.0,749,24.8
13009,4.0,8934,22.9
13011,8.0,2454,12.8
13013,1.0,8021,9.7
13015,1.0,13243,12.5
13017,7.0,3738,22.8
13019,6.0,3843,20.1
13021,3.0,33912,23.2
13023,6.0,2112,18.5
13025,3.0,3056,16.1
13027,3.0,3372,21.9
13029,2.0,3073,7.8
13031,4.0,15945,21.9
13033,2.0,5197,23.6
13035,1.0,3217,14.7
13037,8.0,1608,35.9
13039,4.0,7219,13.8
13043,7.0,2427,23.1
13045,1.0,17148,14.9
13047,2.0,6704,10.0
13049,6.0,2804,25.9
13051,2.0,40565,14.8
13053,2.0,1547,18.5
13055,6.0,4085,17.4
13057,1.0,16725,6.5
13059,3.0,30277,25.7
13061,9.0,797,28.8
13063,1.0,45655,16.0
13065,6.0,1435,22.0
13067,1.0,62275,8.3
13069,7.0,8048,20.2
13071,6.0,9738,21.9
13073,2.0,8747,5.6
13075,6.0,3654,21.4
13077,1.0,13318,9.0
13079,3.0,1875,15.3
13081,6.0,5830,26.7
13083,2.0,2038,13.5
13085,1.0,2267,8.8
13087,6.0,5915,23.4
13089,1.0,95805,12.9
13091,7.0,3853,20.6
13093,6.0,3236,28.2
13095,3.0,23192,27.6
13097,1.0,15842,10.9
13099,6.0,2733,27.3
13101,3.0,861,21.6
13103,2.0,5784,9.1
13105,6.0,3897,20.6
13107,7.0,4441,20.9
13109,6.0,2459,24.1
13111,8.0,3144,12.1
13113,1.0,6105,5.4
13115,3.0,15537,16.4
13117,1.0,11024,4.5
13119,8.0,3887,17.3
13121,1.0,141979,13.8
13123,6.0,4543,14.6
13125,9.0,486,16.9
13127,3.0,12943,15.4
13129,6.0,7001,12.3
13131,6.0,5276,21.7
13133,6.0,2709,15.0
13135,1.0,85810,9.2
13137,6.0,6515,15.2
13139,3.0,27137,13.5
13141,7.0,2225,31.2
13143,1.0,4223,14.4
13145,2.0,2270,6.5
13147,6.0,3717,14.6
13149,1.0,1958,16.7
13151,1.0,18819,8.1
13153,3.0,17079,11.0
13155,7.0,1699,20.5
13157,6.0,7418,10.3
13159,1.0,1748,12.4
13161,7.0,3169,21.2
13163,6.0,3710,25.1
13165,6.0,2162,29.0
13167,9.0,1931,24.2
13169,3.0,3629,12.8
13171,1.0,2641,14.8
13173,3.0,1871,18.5
13175,6.0,11049,23.9
13177,3.0,2715,9.3
13179,3.0,8680,14.5
13181,8.0,1357,17.3
13183,3.0,2726,14.2
13185,3.0,22685,20.4
13187,6.0,4432,14.5
13189,2.0,3792,18.0
13191,3.0,2671,18.7
13193,6.0,3249,29.4
13195,3.0,4608,15.6
13197,2.0,1745,21.1
13199,1.0,4634,22.2
