year,county_fips,candidatevotes
2000,1127.0,264.0
2000,1127.0,270.0
2000,1129.0,3386.0
2000,1129.0,4117.0
2000,1129.0,26.0
2000,1129.0,67.0
2000,1131.0,3444.0
2000,1131.0,1661.0
2000,1131.0,6.0
2000,1131.0,15.0
2000,1133.0,2692.0
2000,1133.0,6413.0
2000,1133.0,88.0
2000,1133.0,125.0
2000,4001.0,13025.0
2000,4001.0,5947.0
2000,4001.0,245.0
2000,4001.0,239.0
2000,4003.0,13360.0
2000,4003.0,18180.0
2000,4003.0,1113.0
2000,4003.0,588.0
2000,4005.0,20280.0
2000,4005.0,17562.0
2000,4005.0,2478.0
2000,4005.0,563.0
2000,4007.0,7700.0
2000,4007.0,9158.0
2000,4007.0,497.0
2000,4007.0,381.0
2000,4009.0,3355.0
2000,4009.0,6007.0
2000,4009.0,144.0
2000,4009.0,158.0
2000,4011.0,1216.0
2000,4011.0,1619.0
2000,4011.0,68.0
2000,4011.0,57.0
2000,4012.0,1769.0
2000,4012.0,2543.0
2000,4012.0,91.0
2000,4012.0,80.0
2000,4013.0,386683.0
2000,4013.0,479967.0
2000,4013.0,22465.0
2000,4013.0,12584.0
2000,4015.0,17470.0
2000,4015.0,24386.0
2000,4015.0,1323.0
2000,4015.0,962.0
2000,4017.0,11794.0
2000,4017.0,12386.0
2000,4017.0,517.0
2000,4017.0,450.0
2000,4019.0,147688.0
2000,4019.0,124579.0
2000,4019.0,12355.0
2000,4019.0,3018.0
2000,4021.0,19650.0
2000,4021.0,20122.0
2000,4021.0,904.0
2000,4021.0,614.0
2000,4023.0,5233.0
2000,4023.0,3344.0
2000,4023.0,217.0
2000,4023.0,99.0
2000,4025.0,24063.0
2000,4025.0,40144.0
2000,4025.0,2733.0
2000,4025.0,1288.0
2000,4027.0,12055.0
2000,4027.0,15708.0
2000,4027.0,495.0
2000,4027.0,394.0
2000,5001.0,2877.0
2000,5001.0,3353.0
2000,5001.0,65.0
2000,5001.0,77.0
2000,5003.0,4253.0
2000,5003.0,3876.0
2000,5003.0,61.0
2000,5003.0,81.0
2000,5005.0,6516.0
2000,5005.0,9538.0
2000,5005.0,429.0
2000,5005.0,225.0
2000,5007.0,17277.0
2000,5007.0,34838.0
2000,5007.0,862.0
2000,5007.0,669.0
2000,5009.0,4493.0
2000,5009.0,8569.0
2000,5009.0,289.0
2000,5009.0,284.0
2000,5011.0,2122.0
2000,5011.0,1793.0
2000,5011.0,34.0
2000,5011.0,30.0
2000,5013.0,1017.0
2000,5013.0,1128.0
2000,5013.0,19.0
2000,5013.0,21.0
2000,5015.0,3595.0
2000,5015.0,5556.0
2000,5015.0,301.0
2000,5015.0,138.0
2000,5017.0,2820.0
2000,5017.0,1564.0
2000,5017.0,26.0
2000,5017.0,42.0
2000,5019.0,4661.0
2000,5019.0,3776.0
2000,5019.0,103.0
2000,5019.0,86.0
2000,5021.0,3527.0
2000,5021.0,2254.0
2000,5021.0,73.0
2000,5021.0,46.0
2000,5023.0,4120.0
2000,5023.0,5730.0
2000,5023.0,183.0
2000,5023.0,174.0
2000,5025.0,1414.0
2000,5025.0,1678.0
2000,5025.0,30.0
2000,5025.0,59.0
2000,5027.0,4003.0
2000,5027.0,5018.0
2000,5027.0,70.0
2000,5027.0,216.0
2000,5029.0,3496.0
2000,5029.0,3545.0
2000,5029.0,84.0
2000,5029.0,109.0
2000,5031.0,12376.0
2000,5031.0,12158.0
2000,5031.0,409.0
2000,5031.0,214.0
2000,5033.0,6288.0
2000,5033.0,10804.0
2000,5033.0,223.0
2000,5033.0,310.0
2000,5035.0,7224.0
2000,5035.0,5857.0
2000,5035.0,97.0
2000,5035.0,56.0
2000,5037.0,3096.0
2000,5037.0,3033.0
2000,5037.0,38.0
2000,5037.0,48.0
2000,5039.0,1710.0
2000,5039.0,1571.0
2000,5039.0,21.0
2000,5039.0,23.0
2000,5041.0,2776.0
2000,5041.0,1603.0
2000,5041.0,38.0
2000,5041.0,78.0
2000,5043.0,3060.0
2000,5043.0,2756.0
2000,5043.0,47.0
2000,5043.0,59.0
2000,5045.0,11950.0
2000,5045.0,16055.0
2000,5045.0,513.0
2000,5045.0,698.0
2000,5047.0,2674.0
2000,5047.0,3277.0
2000,5047.0,100.0
2000,5047.0,89.0
2000,5049.0,1976.0
2000,5049.0,2036.0
2000,5049.0,51.0
2000,5049.0,45.0
2000,5051.0,15840.0
2000,5051.0,19098.0
2000,5051.0,566.0
2000,5051.0,431.0
2000,5053.0,2535.0
2000,5053.0,3285.0
2000,5053.0,88.0
2000,5053.0,105.0
2000,5055.0,6319.0
2000,5055.0,5831.0
2000,5055.0,205.0
2000,5055.0,129.0
2000,5057.0,3937.0
2000,5057.0,3257.0
2000,5057.0,50.0
2000,5057.0,45.0
2000,5059.0,5527.0
2000,5059.0,5042.0
2000,5059.0,202.0
2000,5059.0,210.0
2000,5061.0,2063.0
2000,5061.0,2326.0
2000,5061.0,50.0
2000,5061.0,20.0
2000,5063.0,5146.0
2000,5063.0,6145.0
2000,5063.0,171.0
2000,5063.0,132.0
2000,5065.0,2587.0
2000,5065.0,2301.0
2000,5065.0,76.0
2000,5065.0,68.0
2000,5067.0,3651.0
2000,5067.0,2280.0
2000,5067.0,77.0
2000,5067.0,64.0
2000,5069.0,17716.0
2000,5069.0,8765.0
2000,5069.0,361.0
2000,5069.0,359.0
2000,5071.0,3270.0
2000,5071.0,3657.0
2000,5071.0,109.0
2000,5071.0,125.0
2000,5073.0,1806.0
2000,5073.0,1538.0
2000,5073.0,27.0
2000,5073.0,12.0
2000,5075.0,3255.0
2000,5075.0,2626.0
2000,5075.0,87.0
2000,5075.0,72.0
2000,5077.0,2727.0
2000,5077.0,1351.0
2000,5077.0,18.0
2000,5077.0,25.0
2000,5079.0,1957.0
2000,5079.0,1526.0
2000,5079.0,21.0
2000,5079.0,42.0
2000,5081.0,2883.0
2000,5081.0,2283.0
2000,5081.0,50.0
2000,5081.0,47.0
2000,5083.0,3283.0
2000,5083.0,4487.0
2000,5083.0,124.0
2000,5083.0,202.0
2000,5085.0,6851.0
2000,5085.0,10606.0
2000,5085.0,237.0
2000,5085.0,249.0
2000,5087.0,2055.0
2000,5087.0,3387.0
2000,5087.0,88.0
2000,5087.0,98.0
2000,5089.0,2233.0
2000,5089.0,3402.0
2000,5089.0,220.0
2000,5089.0,160.0
2000,5091.0,6278.0
2000,5091.0,7276.0
2000,5091.0,100.0
2000,5091.0,91.0
2000,5093.0,7107.0
2000,5093.0,5199.0
2000,5093.0,110.0
2000,5093.0,170.0
2000,5095.0,1910.0
2000,5095.0,1329.0
2000,5095.0,29.0
2000,5095.0,25.0
2000,5097.0,1438.0
2000,5097.0,2128.0
2000,5097.0,101.0
2000,5097.0,72.0
2000,5099.0,1867.0
2000,5099.0,1796.0
2000,5099.0,42.0
2000,5099.0,33.0
2000,5101.0,1205.0
2000,5101.0,2529.0
2000,5101.0,112.0
2000,5101.0,81.0
2000,5103.0,5464.0
2000,5103.0,4739.0
2000,5103.0,100.0
2000,5103.0,92.0
2000,5105.0,1648.0
2000,5105.0,2114.0
2000,5105.0,61.0
2000,5105.0,184.0
2000,5107.0,6018.0
2000,5107.0,3154.0
2000,5107.0,75.0
2000,5107.0,66.0
2000,5109.0,1604.0
2000,5109.0,2275.0
2000,5109.0,45.0
2000,5109.0,47.0
2000,5111.0,4102.0
2000,5111.0,2988.0
2000,5111.0,87.0
2000,5111.0,58.0
2000,5113.0,2315.0
2000,5113.0,4600.0
2000,5113.0,130.0
2000,5113.0,148.0
2000,5115.0,6669.0
2000,5115.0,11244.0
2000,5115.0,259.0
2000,5115.0,250.0
2000,5117.0,1563.0
2000,5117.0,1862.0
2000,5117.0,29.0
2000,5117.0,53.0
2000,5119.0,68320.0
2000,5119.0,55866.0
2000,5119.0,1756.0
2000,5119.0,1209.0
2000,5121.0,3019.0
2000,5121.0,2673.0
2000,5121.0,84.0
2000,5121.0,101.0
2000,5123.0,4986.0
2000,5123.0,3414.0
2000,5123.0,42.0
2000,5123.0,54.0
2000,5125.0,12700.0
2000,5125.0,18617.0
2000,5125.0,533.0
2000,5125.0,541.0
2000,5127.0,1444.0
2000,5127.0,2399.0
2000,5127.0,48.0
2000,5127.0,90.0
2000,5129.0,1229.0
2000,5129.0,2610.0
2000,5129.0,83.0
2000,5129.0,136.0
2000,5131.0,15555.0
2000,5131.0,23483.0
2000,5131.0,503.0
2000,5131.0,618.0
2000,5133.0,2095.0
2000,5133.0,2111.0
2000,5133.0,55.0
2000,5133.0,32.0
2000,5135.0,3236.0
2000,5135.0,3698.0
2000,5135.0,115.0
2000,5135.0,77.0
2000,5137.0,2043.0
2000,5137.0,2623.0
2000,5137.0,98.0
2000,5137.0,96.0
2000,5139.0,6261.0
2000,5139.0,8647.0
2000,5139.0,130.0
2000,5139.0,571.0
2000,5141.0,3202.0
2000,5141.0,3485.0
2000,5141.0,153.0
2000,5141.0,144.0
2000,5143.0,21425.0
2000,5143.0,28231.0
2000,5143.0,1208.0
2000,5143.0,595.0
2000,5145.0,8342.0
2000,5145.0,13170.0
2000,5145.0,243.0
2000,5145.0,395.0
2000,5147.0,1699.0
2000,5147.0,898.0
2000,5147.0,19.0
2000,5147.0,35.0
2000,5149.0,3062.0
2000,5149.0,3223.0
2000,5149.0,78.0
2000,5149.0,116.0
2000,6001.0,342889.0
2000,6001.0,119279.0
2000,6001.0,27499.0
2000,6001.0,4669.0
2000,6003.0,265.0
2000,6003.0,281.0
2000,6003.0,25.0
2000,6003.0,15.0
2000,6005.0,5906.0
2000,6005.0,8766.0
2000,6005.0,584.0
2000,6005.0,208.0
2000,6007.0,31338.0
2000,6007.0,45584.0
2000,6007.0,5727.0
2000,6007.0,1072.0
2000,6009.0,7093.0
2000,6009.0,10599.0
2000,6009.0,863.0
2000,6009.0,321.0
2000,6011.0,1745.0
2000,6011.0,3629.0
2000,6011.0,151.0
2000,6011.0,65.0
2000,6013.0,224338.0
2000,6013.0,141373.0
2000,6013.0,13067.0
2000,6013.0,2700.0
2000,6015.0,3117.0
2000,6015.0,4526.0
2000,6015.0,485.0
2000,6015.0,166.0
2000,6017.0,26220.0
2000,6017.0,42045.0
2000,6017.0,3013.0
2000,6017.0,858.0
2000,6019.0,95059.0
2000,6019.0,117342.0
2000,6019.0,6541.0
2000,6019.0,1893.0
2000,6021.0,2498.0
2000,6021.0,5795.0
2000,6021.0,268.0
2000,6021.0,150.0
2000,6023.0,24851.0
2000,6023.0,23219.0
2000,6023.0,7100.0
2000,6023.0,802.0
2000,6025.0,15489.0
2000,6025.0,12524.0
2000,6025.0,608.0
2000,6025.0,316.0
2000,6027.0,2652.0
2000,6027.0,4713.0
2000,6027.0,344.0
2000,6027.0,106.0
2000,6029.0,66003.0
2000,6029.0,110663.0
2000,6029.0,3474.0
2000,6029.0,2168.0
2000,6031.0,11041.0
2000,6031.0,16377.0
2000,6031.0,567.0
2000,6031.0,350.0
2000,6033.0,10717.0
2000,6033.0,8699.0
2000,6033.0,1265.0
2000,6033.0,238.0
2000,6035.0,2982.0
2000,6035.0,7080.0
2000,6035.0,339.0
2000,6035.0,185.0
2000,6037.0,1710505.0
2000,6037.0,871930.0
2000,6037.0,83731.0
2000,6037.0,28988.0
2000,6039.0,11650.0
2000,6039.0,20283.0
2000,6039.0,1080.0
2000,6039.0,382.0
2000,6041.0,79135.0
2000,6041.0,34872.0
2000,6041.0,8289.0
2000,6041.0,859.0
2000,6043.0,2816.0
2000,6043.0,4727.0
2000,6043.0,379.0
2000,6043.0,152.0
2000,6045.0,16634.0
2000,6045.0,12272.0
2000,6045.0,5051.0
2000,6045.0,453.0
2000,6047.0,22726.0
2000,6047.0,26102.0
2000,6047.0,1166.0
2000,6047.0,424.0
2000,6049.0,945.0
2000,6049.0,2969.0
2000,6049.0,122.0
2000,6049.0,71.0
2000,6051.0,1788.0
2000,6051.0,2296.0
2000,6051.0,230.0
2000,6051.0,57.0
2000,6053.0,67618.0
2000,6053.0,43761.0
2000,6053.0,5059.0
2000,6053.0,1096.0
2000,6055.0,28097.0
2000,6055.0,20633.0
2000,6055.0,2471.0
2000,6055.0,523.0
2000,6057.0,17670.0
2000,6057.0,25998.0
2000,6057.0,3287.0
2000,6057.0,524.0
2000,6059.0,391819.0
2000,6059.0,541299.0
2000,6059.0,26833.0
2000,6059.0,10954.0
2000,6061.0,42449.0
2000,6061.0,69835.0
2000,6061.0,4449.0
2000,6061.0,1066.0
2000,6063.0,3458.0
2000,6063.0,6343.0
2000,6063.0,456.0
2000,6063.0,144.0
2000,6065.0,202576.0
2000,6065.0,231955.0
2000,6065.0,11678.0
2000,6065.0,4918.0
2000,6067.0,212792.0
2000,6067.0,195619.0
2000,6067.0,17659.0
2000,6067.0,5480.0
2000,6069.0,9131.0
2000,6069.0,7015.0
2000,6069.0,535.0
2000,6069.0,150.0
2000,6071.0,214749.0
2000,6071.0,221757.0
2000,6071.0,11775.0
2000,6071.0,6612.0
2000,6073.0,437666.0
2000,6073.0,475736.0
2000,6073.0,33979.0
2000,6073.0,11253.0
2000,6075.0,241578.0
2000,6075.0,51496.0
2000,6075.0,24828.0
2000,6075.0,1884.0
2000,6077.0,79776.0
2000,6077.0,81773.0
2000,6077.0,4195.0
2000,6077.0,1495.0
2000,6079.0,44526.0
2000,6079.0,56859.0
2000,6079.0,6523.0
2000,6079.0,978.0
2000,6081.0,166757.0
2000,6081.0,80296.0
2000,6081.0,10433.0
2000,6081.0,1913.0
