fips,2003_rural_urban_continuum_code,less_than_a_high_school_diploma_1970,percent_of_adults_with_less_than_a_high_school_diploma_1970
5143,2.0,19904.0,51.0
5145,4.0,14432.0,66.3
5147,9.0,4588.0,73.7
5149,6.0,5537.0,65.8
6001,1.0,217589.0,37.0
6003,8.0,101.0,38.3
6005,6.0,2911.0,41.4
6007,3.0,24482.0,42.9
6009,6.0,4164.0,48.1
6011,6.0,3104.0,44.3
6013,1.0,96353.0,32.1
6015,7.0,3970.0,50.0
6017,1.0,9251.0,36.3
6019,2.0,100900.0,47.3
6021,6.0,4673.0,46.4
6023,5.0,23271.0,44.3
6025,3.0,20636.0,56.9
6027,7.0,3585.0,38.3
6029,2.0,82559.0,48.3
6031,3.0,15962.0,50.9
6033,4.0,6696.0,49.6
6035,6.0,4150.0,43.3
6037,1.0,1506170.0,38.0
6039,3.0,13151.0,58.4
6041,1.0,24952.0,20.9
6043,8.0,1670.0,44.5
6045,4.0,12742.0,43.1
6047,3.0,25247.0,49.3
6049,6.0,1769.0,40.1
6051,7.0,723.0,31.1
6053,2.0,44960.0,37.5
6055,3.0,16951.0,36.6
6057,4.0,6445.0,39.0
6059,1.0,216580.0,29.5
6061,1.0,16171.0,36.9
6063,7.0,2783.0,39.4
6065,1.0,105962.0,41.6
6067,1.0,113388.0,34.2
6069,1.0,5333.0,55.9
6071,1.0,154036.0,43.3
6073,1.0,239165.0,34.7
6075,1.0,175382.0,38.2
6077,2.0,79981.0,50.6
6079,3.0,23256.0,40.2
6081,1.0,90291.0,28.5
6083,2.0,39195.0,28.7
6085,1.0,168911.0,31.0
6087,2.0,26802.0,36.9
6089,3.0,17506.0,41.1
6091,8.0,626.0,41.7
6093,7.0,8418.0,43.5
6095,2.0,31409.0,37.3
6097,2.0,41844.0,36.4
6099,2.0,52093.0,49.6
6101,3.0,9490.0,42.7
6103,4.0,7328.0,44.2
6105,8.0,1930.0,43.3
6107,2.0,54916.0,55.8
6109,4.0,5624.0,41.2
6111,2.0,68362.0,36.2
6113,1.0,17135.0,38.4
6115,3.0,9313.0,43.4
8001,1.0,32417.0,37.3
8003,7.0,2066.0,40.2
8005,1.0,19703.0,23.9
8007,7.0,744.0,54.2
8009,9.0,1753.0,53.7
8011,7.0,2205.0,57.5
8013,2.0,15345.0,24.2
8014,1.0,16711.331206126357,55.301340140395546
8015,7.0,2274.0,41.6
8017,9.0,684.0,48.9
8019,1.0,943.0,35.5
8021,9.0,2139.0,59.4
8023,9.0,939.0,61.0
8025,8.0,1079.0,57.7
